date,state,state_ibge_code,deaths,created_at
2020-03-05,AC,12,12,2022-08-01 16:01
2020-03-06,AC,12,14,2022-08-01 16:01
2020-03-07,AC,12,11,2022-08-01 16:01
2020-03-08,AC,12,11,2022-08-01 16:01
2020-03-09,AC,12,16,2022-08-01 16:01
2020-03-10,AC,12,11,2022-08-01 16:01
2020-03-11,AC,12,12,2022-08-01 16:01
2020-03-12,AC,12,11,2022-08-01 16:01
2020-03-13,AC,12,11,2022-08-01 16:01
2020-03-14,AC,12,7,2022-08-01 16:01
2020-03-15,AC,12,10,2022-08-01 16:01
2020-03-16,AC,12,8,2022-08-01 16:01
2020-03-17,AC,12,11,2022-08-01 16:01
2020-03-18,AC,12,8,2022-08-01 16:01
2020-03-19,AC,12,10,2022-08-01 16:01
2020-03-20,AC,12,12,2022-08-01 16:01
2020-03-21,AC,12,12,2022-08-01 16:01
2020-03-22,AC,12,10,2022-08-01 16:01
2020-03-23,AC,12,11,2022-08-01 16:01
2020-03-24,AC,12,10,2022-08-01 16:01
2020-03-25,AC,12,15,2022-08-01 16:01
2020-03-26,AC,12,5,2022-08-01 16:01
2020-03-27,AC,12,7,2022-08-01 16:01
2020-03-28,AC,12,8,2022-08-01 16:01
2020-03-29,AC,12,11,2022-08-01 16:01
2020-03-30,AC,12,16,2022-08-01 16:01
2020-03-31,AC,12,4,2022-08-01 16:01
2020-04-01,AC,12,5,2022-08-01 16:01
2020-04-02,AC,12,8,2022-08-01 16:01
2020-04-03,AC,12,6,2022-08-01 16:01
2020-04-04,AC,12,9,2022-08-01 16:01
2020-04-05,AC,12,11,2022-08-01 16:01
2020-04-06,AC,12,11,2022-08-01 16:01
2020-04-07,AC,12,12,2022-08-01 16:01
2020-04-08,AC,12,8,2022-08-01 16:01
2020-04-09,AC,12,9,2022-08-01 16:01
2020-04-10,AC,12,6,2022-08-01 16:01
2020-04-11,AC,12,12,2022-08-01 16:01
2020-04-12,AC,12,12,2022-08-01 16:01
2020-04-13,AC,12,12,2022-08-01 16:01
2020-04-14,AC,12,13,2022-08-01 16:01
2020-04-15,AC,12,7,2022-08-01 16:01
2020-04-16,AC,12,12,2022-08-01 16:01
2020-04-17,AC,12,9,2022-08-01 16:01
2020-04-18,AC,12,14,2022-08-01 16:01
2020-04-19,AC,12,12,2022-08-01 16:01
2020-04-20,AC,12,7,2022-08-01 16:01
2020-04-21,AC,12,7,2022-08-01 16:01
2020-04-22,AC,12,15,2022-08-01 16:01
2020-04-23,AC,12,6,2022-08-01 16:01
2020-04-24,AC,12,9,2022-08-01 16:01
2020-04-25,AC,12,6,2022-08-01 16:01
2020-04-26,AC,12,16,2022-08-01 16:01
2020-04-27,AC,12,12,2022-08-01 16:01
2020-04-28,AC,12,21,2022-08-01 16:01
2020-04-29,AC,12,15,2022-08-01 16:01
2020-04-30,AC,12,8,2022-08-01 16:01
2020-05-01,AC,12,9,2022-08-01 16:01
2020-05-02,AC,12,15,2022-08-01 16:01
2020-05-03,AC,12,17,2022-08-01 16:01
2020-05-04,AC,12,9,2022-08-01 16:01
2020-05-05,AC,12,12,2022-08-01 16:01
2020-05-06,AC,12,13,2022-08-01 16:01
2020-05-07,AC,12,12,2022-08-01 16:01
2020-05-08,AC,12,13,2022-08-01 16:01
2020-05-09,AC,12,10,2022-08-01 16:01
2020-05-10,AC,12,12,2022-08-01 16:01
2020-05-11,AC,12,18,2022-08-01 16:01
2020-05-12,AC,12,14,2022-08-01 16:01
2020-05-13,AC,12,12,2022-08-01 16:01
2020-05-14,AC,12,16,2022-08-01 16:01
2020-05-15,AC,12,8,2022-08-01 16:01
2020-05-16,AC,12,13,2022-08-01 16:01
2020-05-17,AC,12,23,2022-08-01 16:01
2020-05-18,AC,12,14,2022-08-01 16:01
2020-05-19,AC,12,21,2022-08-01 16:01
2020-05-20,AC,12,23,2022-08-01 16:01
2020-05-21,AC,12,21,2022-08-01 16:01
2020-05-22,AC,12,31,2022-08-01 16:01
2020-05-23,AC,12,26,2022-08-01 16:01
2020-05-24,AC,12,15,2022-08-01 16:01
2020-05-25,AC,12,24,2022-08-01 16:01
2020-05-26,AC,12,20,2022-08-01 16:01
2020-05-27,AC,12,18,2022-08-01 16:01
2020-05-28,AC,12,20,2022-08-01 16:01
2020-05-29,AC,12,25,2022-08-01 16:01
2020-05-30,AC,12,21,2022-08-01 16:01
2020-05-31,AC,12,16,2022-08-01 16:01
2020-06-01,AC,12,12,2022-08-01 16:01
2020-06-02,AC,12,17,2022-08-01 16:01
2020-06-03,AC,12,24,2022-08-01 16:01
2020-06-04,AC,12,18,2022-08-01 16:01
2020-06-05,AC,12,19,2022-08-01 16:01
2020-06-06,AC,12,28,2022-08-01 16:01
2020-06-07,AC,12,9,2022-08-01 16:01
2020-06-08,AC,12,27,2022-08-01 16:01
2020-06-09,AC,12,21,2022-08-01 16:01
2020-06-10,AC,12,21,2022-08-01 16:01
2020-06-11,AC,12,19,2022-08-01 16:01
2020-06-12,AC,12,22,2022-08-01 16:01
2020-06-13,AC,12,19,2022-08-01 16:01
2020-06-14,AC,12,12,2022-08-01 16:01
2020-06-15,AC,12,18,2022-08-01 16:01
2020-06-16,AC,12,15,2022-08-01 16:01
2020-06-17,AC,12,21,2022-08-01 16:01
2020-06-18,AC,12,10,2022-08-01 16:01
2020-06-19,AC,12,17,2022-08-01 16:01
2020-06-20,AC,12,24,2022-08-01 16:01
2020-06-21,AC,12,13,2022-08-01 16:01
2020-06-22,AC,12,15,2022-08-01 16:01
2020-06-23,AC,12,11,2022-08-01 16:01
2020-06-24,AC,12,11,2022-08-01 16:01
2020-06-25,AC,12,26,2022-08-01 16:01
2020-06-26,AC,12,21,2022-08-01 16:01
2020-06-27,AC,12,13,2022-08-01 16:01
2020-06-28,AC,12,11,2022-08-01 16:01
2020-06-29,AC,12,10,2022-08-01 16:01
2020-06-30,AC,12,18,2022-08-01 16:01
2020-07-01,AC,12,14,2022-08-01 16:01
2020-07-02,AC,12,16,2022-08-01 16:01
2020-07-03,AC,12,17,2022-08-01 16:01
2020-07-04,AC,12,18,2022-08-01 16:01
2020-07-05,AC,12,14,2022-08-01 16:01
2020-07-06,AC,12,14,2022-08-01 16:01
2020-07-07,AC,12,16,2022-08-01 16:01
2020-07-08,AC,12,19,2022-08-01 16:01
2020-07-09,AC,12,23,2022-08-01 16:01
2020-07-10,AC,12,10,2022-08-01 16:01
2020-07-11,AC,12,14,2022-08-01 16:01
2020-07-12,AC,12,10,2022-08-01 16:01
2020-07-13,AC,12,15,2022-08-01 16:01
2020-07-14,AC,12,10,2022-08-01 16:01
2020-07-15,AC,12,17,2022-08-01 16:01
2020-07-16,AC,12,11,2022-08-01 16:01
2020-07-17,AC,12,15,2022-08-01 16:01
2020-07-18,AC,12,14,2022-08-01 16:01
2020-07-19,AC,12,15,2022-08-01 16:01
2020-07-20,AC,12,15,2022-08-01 16:01
2020-07-21,AC,12,9,2022-08-01 16:01
2020-07-22,AC,12,11,2022-08-01 16:01
2020-07-23,AC,12,9,2022-08-01 16:01
2020-07-24,AC,12,11,2022-08-01 16:01
2020-07-25,AC,12,18,2022-08-01 16:01
2020-07-26,AC,12,11,2022-08-01 16:01
2020-07-27,AC,12,19,2022-08-01 16:01
2020-07-28,AC,12,15,2022-08-01 16:01
2020-07-29,AC,12,9,2022-08-01 16:01
2020-07-30,AC,12,7,2022-08-01 16:01
2020-07-31,AC,12,13,2022-08-01 16:01
2020-08-01,AC,12,10,2022-08-01 16:01
2020-08-02,AC,12,12,2022-08-01 16:01
2020-08-03,AC,12,17,2022-08-01 16:01
2020-08-04,AC,12,9,2022-08-01 16:01
2020-08-05,AC,12,6,2022-08-01 16:01
2020-08-06,AC,12,16,2022-08-01 16:01
2020-08-07,AC,12,9,2022-08-01 16:01
2020-08-08,AC,12,15,2022-08-01 16:01
2020-08-09,AC,12,18,2022-08-01 16:01
2020-08-10,AC,12,12,2022-08-01 16:01
2020-08-11,AC,12,16,2022-08-01 16:01
2020-08-12,AC,12,7,2022-08-01 16:01
2020-08-13,AC,12,11,2022-08-01 16:01
2020-08-14,AC,12,14,2022-08-01 16:01
2020-08-15,AC,12,8,2022-08-01 16:01
2020-08-16,AC,12,14,2022-08-01 16:01
2020-08-17,AC,12,10,2022-08-01 16:01
2020-08-18,AC,12,14,2022-08-01 16:01
2020-08-19,AC,12,15,2022-08-01 16:01
2020-08-20,AC,12,6,2022-08-01 16:01
2020-08-21,AC,12,9,2022-08-01 16:01
2020-08-22,AC,12,15,2022-08-01 16:01
2020-08-23,AC,12,14,2022-08-01 16:01
2020-08-24,AC,12,11,2022-08-01 16:01
2020-08-25,AC,12,6,2022-08-01 16:01
2020-08-26,AC,12,4,2022-08-01 16:01
2020-08-27,AC,12,13,2022-08-01 16:01
2020-08-28,AC,12,10,2022-08-01 16:01
2020-08-29,AC,12,11,2022-08-01 16:01
2020-08-30,AC,12,10,2022-08-01 16:01
2020-08-31,AC,12,11,2022-08-01 16:01
2020-09-01,AC,12,16,2022-08-01 16:01
2020-09-02,AC,12,6,2022-08-01 16:01
2020-09-03,AC,12,8,2022-08-01 16:01
2020-09-04,AC,12,11,2022-08-01 16:01
2020-09-05,AC,12,5,2022-08-01 16:01
2020-09-06,AC,12,8,2022-08-01 16:01
2020-09-07,AC,12,6,2022-08-01 16:01
2020-09-08,AC,12,14,2022-08-01 16:01
2020-09-09,AC,12,11,2022-08-01 16:01
2020-09-10,AC,12,6,2022-08-01 16:01
2020-09-11,AC,12,15,2022-08-01 16:01
2020-09-12,AC,12,16,2022-08-01 16:01
2020-09-13,AC,12,12,2022-08-01 16:01
2020-09-14,AC,12,9,2022-08-01 16:01
2020-09-15,AC,12,8,2022-08-01 16:01
2020-09-16,AC,12,10,2022-08-01 16:01
2020-09-17,AC,12,11,2022-08-01 16:01
2020-09-18,AC,12,11,2022-08-01 16:01
2020-09-19,AC,12,14,2022-08-01 16:01
2020-09-20,AC,12,8,2022-08-01 16:01
2020-09-21,AC,12,8,2022-08-01 16:01
2020-09-22,AC,12,8,2022-08-01 16:01
2020-09-23,AC,12,10,2022-08-01 16:01
2020-09-24,AC,12,10,2022-08-01 16:01
2020-09-25,AC,12,11,2022-08-01 16:01
2020-09-26,AC,12,10,2022-08-01 16:01
2020-09-27,AC,12,9,2022-08-01 16:01
2020-09-28,AC,12,4,2022-08-01 16:01
2020-09-29,AC,12,7,2022-08-01 16:01
2020-09-30,AC,12,9,2022-08-01 16:01
2020-10-01,AC,12,13,2022-08-01 16:01
2020-10-02,AC,12,9,2022-08-01 16:01
2020-10-03,AC,12,10,2022-08-01 16:01
2020-10-04,AC,12,5,2022-08-01 16:01
2020-10-05,AC,12,6,2022-08-01 16:01
2020-10-06,AC,12,14,2022-08-01 16:01
2020-10-07,AC,12,16,2022-08-01 16:01
2020-10-08,AC,12,9,2022-08-01 16:01
2020-10-09,AC,12,12,2022-08-01 16:01
2020-10-10,AC,12,17,2022-08-01 16:01
2020-10-11,AC,12,10,2022-08-01 16:01
2020-10-12,AC,12,11,2022-08-01 16:01
2020-10-13,AC,12,6,2022-08-01 16:01
2020-10-14,AC,12,11,2022-08-01 16:01
2020-10-15,AC,12,10,2022-08-01 16:01
2020-10-16,AC,12,13,2022-08-01 16:01
2020-10-17,AC,12,8,2022-08-01 16:01
2020-10-18,AC,12,10,2022-08-01 16:01
2020-10-19,AC,12,5,2022-08-01 16:01
2020-10-20,AC,12,7,2022-08-01 16:01
2020-10-21,AC,12,7,2022-08-01 16:01
2020-10-22,AC,12,8,2022-08-01 16:01
2020-10-23,AC,12,4,2022-08-01 16:01
2020-10-24,AC,12,6,2022-08-01 16:01
2020-10-25,AC,12,2,2022-08-01 16:01
2020-10-26,AC,12,4,2022-08-01 16:01
2020-10-27,AC,12,10,2022-08-01 16:01
2020-10-28,AC,12,13,2022-08-01 16:01
2020-10-29,AC,12,10,2022-08-01 16:01
2020-10-30,AC,12,12,2022-08-01 16:01
2020-10-31,AC,12,10,2022-08-01 16:01
2020-11-01,AC,12,13,2022-08-01 16:01
2020-11-02,AC,12,7,2022-08-01 16:01
2020-11-03,AC,12,14,2022-08-01 16:01
2020-11-04,AC,12,9,2022-08-01 16:01
2020-11-05,AC,12,13,2022-08-01 16:01
2020-11-06,AC,12,11,2022-08-01 16:01
2020-11-07,AC,12,10,2022-08-01 16:01
2020-11-08,AC,12,11,2022-08-01 16:01
2020-11-09,AC,12,14,2022-08-01 16:01
2020-11-10,AC,12,5,2022-08-01 16:01
2020-11-11,AC,12,10,2022-08-01 16:01
2020-11-12,AC,12,17,2022-08-01 16:01
2020-11-13,AC,12,15,2022-08-01 16:01
2020-11-14,AC,12,13,2022-08-01 16:01
2020-11-15,AC,12,10,2022-08-01 16:01
2020-11-16,AC,12,5,2022-08-01 16:01
2020-11-17,AC,12,7,2022-08-01 16:01
2020-11-18,AC,12,9,2022-08-01 16:01
2020-11-19,AC,12,16,2022-08-01 16:01
2020-11-20,AC,12,10,2022-08-01 16:01
2020-11-21,AC,12,13,2022-08-01 16:01
2020-11-22,AC,12,9,2022-08-01 16:01
2020-11-23,AC,12,13,2022-08-01 16:01
2020-11-24,AC,12,14,2022-08-01 16:01
2020-11-25,AC,12,8,2022-08-01 16:01
2020-11-26,AC,12,11,2022-08-01 16:01
2020-11-27,AC,12,10,2022-08-01 16:01
2020-11-28,AC,12,18,2022-08-01 16:01
2020-11-29,AC,12,5,2022-08-01 16:01
2020-11-30,AC,12,12,2022-08-01 16:01
2020-12-01,AC,12,9,2022-08-01 16:01
2020-12-02,AC,12,13,2022-08-01 16:01
2020-12-03,AC,12,9,2022-08-01 16:01
2020-12-04,AC,12,10,2022-08-01 16:01
2020-12-05,AC,12,9,2022-08-01 16:01
2020-12-06,AC,12,18,2022-08-01 16:01
2020-12-07,AC,12,10,2022-08-01 16:01
2020-12-08,AC,12,14,2022-08-01 16:01
2020-12-09,AC,12,13,2022-08-01 16:01
2020-12-10,AC,12,13,2022-08-01 16:01
2020-12-11,AC,12,11,2022-08-01 16:01
2020-12-12,AC,12,18,2022-08-01 16:01
2020-12-13,AC,12,13,2022-08-01 16:01
2020-12-14,AC,12,9,2022-08-01 16:01
2020-12-15,AC,12,18,2022-08-01 16:01
2020-12-16,AC,12,13,2022-08-01 16:01
2020-12-17,AC,12,10,2022-08-01 16:01
2020-12-18,AC,12,19,2022-08-01 16:01
2020-12-19,AC,12,11,2022-08-01 16:01
2020-12-20,AC,12,13,2022-08-01 16:01
2020-12-21,AC,12,13,2022-08-01 16:01
2020-12-22,AC,12,10,2022-08-01 16:01
2020-12-23,AC,12,17,2022-08-01 16:01
2020-12-24,AC,12,12,2022-08-01 16:01
2020-12-25,AC,12,12,2022-08-01 16:01
2020-12-26,AC,12,18,2022-08-01 16:01
2020-12-27,AC,12,18,2022-08-01 16:01
2020-12-28,AC,12,12,2022-08-01 16:01
2020-12-29,AC,12,11,2022-08-01 16:01
2020-12-30,AC,12,15,2022-08-01 16:01
2020-12-31,AC,12,12,2022-08-01 16:01
2021-01-01,AC,12,23,2022-08-01 16:01
2021-01-02,AC,12,17,2022-08-01 16:01
2021-01-03,AC,12,18,2022-08-01 16:01
2021-01-04,AC,12,20,2022-08-01 16:01
2021-01-05,AC,12,20,2022-08-01 16:01
2021-01-06,AC,12,11,2022-08-01 16:01
2021-01-07,AC,12,8,2022-08-01 16:01
2021-01-08,AC,12,12,2022-08-01 16:01
2021-01-09,AC,12,19,2022-08-01 16:01
2021-01-10,AC,12,15,2022-08-01 16:01
2021-01-11,AC,12,5,2022-08-01 16:01
2021-01-12,AC,12,17,2022-08-01 16:01
2021-01-13,AC,12,14,2022-08-01 16:01
2021-01-14,AC,12,8,2022-08-01 16:01
2021-01-15,AC,12,11,2022-08-01 16:01
2021-01-16,AC,12,12,2022-08-01 16:01
2021-01-17,AC,12,15,2022-08-01 16:01
2021-01-18,AC,12,10,2022-08-01 16:01
2021-01-19,AC,12,11,2022-08-01 16:01
2021-01-20,AC,12,14,2022-08-01 16:01
2021-01-21,AC,12,12,2022-08-01 16:01
2021-01-22,AC,12,8,2022-08-01 16:01
2021-01-23,AC,12,15,2022-08-01 16:01
2021-01-24,AC,12,22,2022-08-01 16:01
2021-01-25,AC,12,17,2022-08-01 16:01
2021-01-26,AC,12,20,2022-08-01 16:01
2021-01-27,AC,12,16,2022-08-01 16:01
2021-01-28,AC,12,14,2022-08-01 16:01
2021-01-29,AC,12,19,2022-08-01 16:01
2021-01-30,AC,12,23,2022-08-01 16:01
2021-01-31,AC,12,21,2022-08-01 16:01
2021-02-01,AC,12,21,2022-08-01 16:01
2021-02-02,AC,12,27,2022-08-01 16:01
2021-02-03,AC,12,12,2022-08-01 16:01
2021-02-04,AC,12,15,2022-08-01 16:01
2021-02-05,AC,12,15,2022-08-01 16:01
2021-02-06,AC,12,20,2022-08-01 16:01
2021-02-07,AC,12,17,2022-08-01 16:01
2021-02-08,AC,12,18,2022-08-01 16:01
2021-02-09,AC,12,16,2022-08-01 16:01
2021-02-10,AC,12,22,2022-08-01 16:01
2021-02-11,AC,12,24,2022-08-01 16:01
2021-02-12,AC,12,20,2022-08-01 16:01
2021-02-13,AC,12,21,2022-08-01 16:01
2021-02-14,AC,12,18,2022-08-01 16:01
2021-02-15,AC,12,19,2022-08-01 16:01
2021-02-16,AC,12,22,2022-08-01 16:01
2021-02-17,AC,12,28,2022-08-01 16:01
2021-02-18,AC,12,23,2022-08-01 16:01
2021-02-19,AC,12,29,2022-08-01 16:01
2021-02-20,AC,12,30,2022-08-01 16:01
2021-02-21,AC,12,31,2022-08-01 16:01
2021-02-22,AC,12,15,2022-08-01 16:01
2021-02-23,AC,12,16,2022-08-01 16:01
2021-02-24,AC,12,20,2022-08-01 16:01
2021-02-25,AC,12,18,2022-08-01 16:01
2021-02-26,AC,12,17,2022-08-01 16:01
2021-02-27,AC,12,23,2022-08-01 16:01
2021-02-28,AC,12,26,2022-08-01 16:01
2021-03-01,AC,12,29,2022-08-01 16:01
2021-03-02,AC,12,27,2022-08-01 16:01
2021-03-03,AC,12,23,2022-08-01 16:01
2021-03-04,AC,12,26,2022-08-01 16:01
2021-03-05,AC,12,23,2022-08-01 16:01
2021-03-06,AC,12,23,2022-08-01 16:01
2021-03-07,AC,12,22,2022-08-01 16:01
2021-03-08,AC,12,24,2022-08-01 16:01
2021-03-09,AC,12,28,2022-08-01 16:01
2021-03-10,AC,12,26,2022-08-01 16:01
2021-03-11,AC,12,25,2022-08-01 16:01
2021-03-12,AC,12,21,2022-08-01 16:01
2021-03-13,AC,12,23,2022-08-01 16:01
2021-03-14,AC,12,27,2022-08-01 16:01
2021-03-15,AC,12,22,2022-08-01 16:01
2021-03-16,AC,12,19,2022-08-01 16:01
2021-03-17,AC,12,43,2022-08-01 16:01
2021-03-18,AC,12,24,2022-08-01 16:01
2021-03-19,AC,12,23,2022-08-01 16:01
2021-03-20,AC,12,33,2022-08-01 16:01
2021-03-21,AC,12,33,2022-08-01 16:01
2021-03-22,AC,12,27,2022-08-01 16:01
2021-03-23,AC,12,38,2022-08-01 16:01
2021-03-24,AC,12,28,2022-08-01 16:01
2021-03-25,AC,12,29,2022-08-01 16:01
2021-03-26,AC,12,27,2022-08-01 16:01
2021-03-27,AC,12,26,2022-08-01 16:01
2021-03-28,AC,12,22,2022-08-01 16:01
2021-03-29,AC,12,23,2022-08-01 16:01
2021-03-30,AC,12,30,2022-08-01 16:01
2021-03-31,AC,12,29,2022-08-01 16:01
2021-04-01,AC,12,30,2022-08-01 16:01
2021-04-02,AC,12,19,2022-08-01 16:01
2021-04-03,AC,12,25,2022-08-01 16:01
2021-04-04,AC,12,29,2022-08-01 16:01
2021-04-05,AC,12,14,2022-08-01 16:01
2021-04-06,AC,12,21,2022-08-01 16:01
2021-04-07,AC,12,19,2022-08-01 16:01
2021-04-08,AC,12,30,2022-08-01 16:01
2021-04-09,AC,12,19,2022-08-01 16:01
2021-04-10,AC,12,25,2022-08-01 16:01
2021-04-11,AC,12,20,2022-08-01 16:01
2021-04-12,AC,12,18,2022-08-01 16:01
2021-04-13,AC,12,19,2022-08-01 16:01
2021-04-14,AC,12,17,2022-08-01 16:01
2021-04-15,AC,12,25,2022-08-01 16:01
2021-04-16,AC,12,21,2022-08-01 16:01
2021-04-17,AC,12,26,2022-08-01 16:01
2021-04-18,AC,12,24,2022-08-01 16:01
2021-04-19,AC,12,16,2022-08-01 16:01
2021-04-20,AC,12,12,2022-08-01 16:01
2021-04-21,AC,12,16,2022-08-01 16:01
2021-04-22,AC,12,24,2022-08-01 16:01
2021-04-23,AC,12,18,2022-08-01 16:01
2021-04-24,AC,12,15,2022-08-01 16:01
2021-04-25,AC,12,14,2022-08-01 16:01
2021-04-26,AC,12,14,2022-08-01 16:01
2021-04-27,AC,12,22,2022-08-01 16:01
2021-04-28,AC,12,17,2022-08-01 16:01
2021-04-29,AC,12,14,2022-08-01 16:01
2021-04-30,AC,12,14,2022-08-01 16:01
2021-05-01,AC,12,19,2022-08-01 16:01
2021-05-02,AC,12,15,2022-08-01 16:01
2021-05-03,AC,12,21,2022-08-01 16:01
2021-05-04,AC,12,13,2022-08-01 16:01
2021-05-05,AC,12,13,2022-08-01 16:01
2021-05-06,AC,12,10,2022-08-01 16:01
2021-05-07,AC,12,15,2022-08-01 16:01
2021-05-08,AC,12,18,2022-08-01 16:01
2021-05-09,AC,12,14,2022-08-01 16:01
2021-05-10,AC,12,13,2022-08-01 16:01
2021-05-11,AC,12,14,2022-08-01 16:01
2021-05-12,AC,12,14,2022-08-01 16:01
2021-05-13,AC,12,13,2022-08-01 16:01
2021-05-14,AC,12,12,2022-08-01 16:01
2021-05-15,AC,12,11,2022-08-01 16:01
2021-05-16,AC,12,13,2022-08-01 16:01
2021-05-17,AC,12,20,2022-08-01 16:01
2021-05-18,AC,12,12,2022-08-01 16:01
2021-05-19,AC,12,8,2022-08-01 16:01
2021-05-20,AC,12,6,2022-08-01 16:01
2021-05-21,AC,12,9,2022-08-01 16:01
2021-05-22,AC,12,10,2022-08-01 16:01
2021-05-23,AC,12,9,2022-08-01 16:01
2021-05-24,AC,12,9,2022-08-01 16:01
2021-05-25,AC,12,9,2022-08-01 16:01
2021-05-26,AC,12,15,2022-08-01 16:01
2021-05-27,AC,12,15,2022-08-01 16:01
2021-05-28,AC,12,9,2022-08-01 16:01
2021-05-29,AC,12,7,2022-08-01 16:01
2021-05-30,AC,12,17,2022-08-01 16:01
2021-05-31,AC,12,7,2022-08-01 16:01
2021-06-01,AC,12,19,2022-08-01 16:01
2021-06-02,AC,12,13,2022-08-01 16:01
2021-06-03,AC,12,16,2022-08-01 16:01
2021-06-04,AC,12,14,2022-08-01 16:01
2021-06-05,AC,12,6,2022-08-01 16:01
2021-06-06,AC,12,11,2022-08-01 16:01
2021-06-07,AC,12,19,2022-08-01 16:01
2021-06-08,AC,12,12,2022-08-01 16:01
2021-06-09,AC,12,12,2022-08-01 16:01
2021-06-10,AC,12,12,2022-08-01 16:01
2021-06-11,AC,12,7,2022-08-01 16:01
2021-06-12,AC,12,10,2022-08-01 16:01
2021-06-13,AC,12,16,2022-08-01 16:01
2021-06-14,AC,12,13,2022-08-01 16:01
2021-06-15,AC,12,12,2022-08-01 16:01
2021-06-16,AC,12,7,2022-08-01 16:01
2021-06-17,AC,12,10,2022-08-01 16:01
2021-06-18,AC,12,6,2022-08-01 16:01
2021-06-19,AC,12,12,2022-08-01 16:01
2021-06-20,AC,12,12,2022-08-01 16:01
2021-06-21,AC,12,12,2022-08-01 16:01
2021-06-22,AC,12,6,2022-08-01 16:01
2021-06-23,AC,12,7,2022-08-01 16:01
2021-06-24,AC,12,18,2022-08-01 16:01
2021-06-25,AC,12,9,2022-08-01 16:01
2021-06-26,AC,12,11,2022-08-01 16:01
2021-06-27,AC,12,15,2022-08-01 16:01
2021-06-28,AC,12,10,2022-08-01 16:01
2021-06-29,AC,12,16,2022-08-01 16:01
2021-06-30,AC,12,13,2022-08-01 16:01
2021-07-01,AC,12,11,2022-08-01 16:01
2021-07-02,AC,12,6,2022-08-01 16:01
2021-07-03,AC,12,11,2022-08-01 16:01
2021-07-04,AC,12,15,2022-08-01 16:01
2021-07-05,AC,12,10,2022-08-01 16:01
2021-07-06,AC,12,13,2022-08-01 16:01
2021-07-07,AC,12,10,2022-08-01 16:01
2021-07-08,AC,12,7,2022-08-01 16:01
2021-07-09,AC,12,15,2022-08-01 16:01
